model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../4_flexref/flexref_56.pdb	-	127	-72.702	2.715	0.567	6.359	6.363	0.481	12	3	18	0.088	0.000	0.000	857.674	0.000	0.000	0.000	-5.049	0.000	-16.118	0.000	0.000	0.000	0.000	-58.997	-42.967	0.000	0.000
../4_flexref/flexref_106.pdb	-	128	-72.650	5.129	0.100	12.018	12.034	0.171	46	6	7	0.334	0.000	0.000	686.951	0.000	0.000	0.000	0.236	0.000	-41.483	0.000	0.000	0.000	0.000	-65.716	-24.567	0.000	0.000
../4_flexref/flexref_82.pdb	-	129	-72.361	3.389	0.400	8.147	8.170	0.362	10	14	3	18.319	0.000	0.000	733.648	0.000	0.000	0.000	-2.547	0.000	-33.198	0.000	0.000	0.000	0.000	-45.990	-31.111	0.000	0.000
../4_flexref/flexref_74.pdb	-	130	-72.101	2.684	0.633	6.423	6.407	0.503	11	1	18	17.574	0.000	0.000	799.356	0.000	0.000	0.000	-0.778	0.000	-33.876	0.000	0.000	0.000	0.000	-47.513	-31.211	0.000	0.000
../4_flexref/flexref_185.pdb	-	131	-71.987	5.540	0.167	12.926	12.904	0.179	23	4	19	32.180	0.000	0.000	1084.100	0.000	0.000	0.000	-2.464	0.000	-17.380	0.000	0.000	0.000	0.000	-29.720	-44.520	0.000	0.000
../4_flexref/flexref_174.pdb	-	132	-71.955	5.290	0.167	12.258	12.253	0.189	39	10	5	0.000	0.000	0.000	777.132	0.000	0.000	0.000	-2.920	0.000	-23.647	0.000	0.000	0.000	0.000	-61.263	-37.616	0.000	0.000
../4_flexref/flexref_33.pdb	-	133	-71.561	5.395	0.200	12.567	12.559	0.195	39	10	6	55.217	0.000	0.000	749.438	0.000	0.000	0.000	-4.231	0.000	-25.291	0.000	0.000	0.000	0.000	-10.140	-40.067	0.000	0.000
../4_flexref/flexref_188.pdb	-	134	-71.245	5.393	0.200	12.434	12.427	0.197	43	16	2	26.654	0.000	0.000	869.361	0.000	0.000	0.000	-0.491	0.000	-30.872	0.000	0.000	0.000	0.000	-38.072	-33.854	0.000	0.000
../4_flexref/flexref_109.pdb	-	135	-70.788	5.211	0.100	12.096	12.117	0.169	48	12	5	0.000	0.000	0.000	735.442	0.000	0.000	0.000	-0.476	0.000	-32.319	0.000	0.000	0.000	0.000	-62.958	-30.639	0.000	0.000
../4_flexref/flexref_34.pdb	-	136	-69.474	2.718	0.500	6.399	6.391	0.457	12	3	19	0.190	0.000	0.000	797.703	0.000	0.000	0.000	-2.546	0.000	-23.036	0.000	0.000	0.000	0.000	-58.780	-35.934	0.000	0.000
../4_flexref/flexref_149.pdb	-	137	-68.799	2.490	0.567	5.800	5.778	0.505	12	3	20	0.785	0.000	0.000	918.473	0.000	0.000	0.000	-3.178	0.000	-16.140	0.000	0.000	0.000	0.000	-55.730	-40.375	0.000	0.000
../4_flexref/flexref_112.pdb	-	138	-68.792	2.695	0.533	6.303	6.276	0.472	12	3	21	1.098	0.000	0.000	921.035	0.000	0.000	0.000	-2.642	0.000	-15.550	0.000	0.000	0.000	0.000	-55.952	-41.500	0.000	0.000
../4_flexref/flexref_147.pdb	-	139	-67.508	3.168	0.467	7.616	7.576	0.401	13	15	2	8.559	0.000	0.000	789.964	0.000	0.000	0.000	-0.410	0.000	-28.427	0.000	0.000	0.000	0.000	-51.496	-31.627	0.000	0.000
../4_flexref/flexref_6.pdb	-	140	-67.368	2.753	0.567	6.610	6.601	0.473	11	1	19	0.835	0.000	0.000	852.877	0.000	0.000	0.000	2.077	0.000	-29.574	0.000	0.000	0.000	0.000	-60.165	-31.426	0.000	0.000
